,species
0,Adelie
1,Adelie
2,Adelie
4,Adelie
5,Adelie
6,Adelie
7,Adelie
8,Adelie
9,Adelie
10,Adelie
11,Adelie
12,Adelie
13,Adelie
14,Adelie
15,Adelie
16,Adelie
17,Adelie
18,Adelie
19,Adelie
20,Adelie
21,Adelie
22,Adelie
23,Adelie
24,Adelie
25,Adelie
26,Adelie
27,Adelie
28,Adelie
29,Adelie
30,Adelie
31,Adelie
32,Adelie
33,Adelie
34,Adelie
35,Adelie
36,Adelie
37,Adelie
38,Adelie
39,Adelie
40,Adelie
41,Adelie
42,Adelie
43,Adelie
44,Adelie
45,Adelie
46,Adelie
47,Adelie
48,Adelie
49,Adelie
50,Adelie
51,Adelie
52,Adelie
53,Adelie
54,Adelie
55,Adelie
56,Adelie
57,Adelie
58,Adelie
59,Adelie
60,Adelie
61,Adelie
62,Adelie
63,Adelie
64,Adelie
65,Adelie
66,Adelie
67,Adelie
68,Adelie
69,Adelie
70,Adelie
71,Adelie
72,Adelie
73,Adelie
74,Adelie
75,Adelie
76,Adelie
77,Adelie
78,Adelie
79,Adelie
80,Adelie
81,Adelie
82,Adelie
83,Adelie
84,Adelie
85,Adelie
86,Adelie
87,Adelie
88,Adelie
89,Adelie
90,Adelie
91,Adelie
92,Adelie
93,Adelie
94,Adelie
95,Adelie
96,Adelie
97,Adelie
98,Adelie
99,Adelie
100,Adelie
101,Adelie
102,Adelie
103,Adelie
104,Adelie
105,Adelie
106,Adelie
107,Adelie
108,Adelie
109,Adelie
110,Adelie
111,Adelie
112,Adelie
113,Adelie
114,Adelie
115,Adelie
116,Adelie
117,Adelie
118,Adelie
119,Adelie
120,Adelie
121,Adelie
122,Adelie
123,Adelie
124,Adelie
125,Adelie
126,Adelie
127,Adelie
128,Adelie
129,Adelie
130,Adelie
131,Adelie
132,Adelie
133,Adelie
134,Adelie
135,Adelie
136,Adelie
137,Adelie
138,Adelie
139,Adelie
140,Adelie
141,Adelie
142,Adelie
143,Adelie
144,Adelie
145,Adelie
146,Adelie
147,Adelie
148,Adelie
149,Adelie
150,Adelie
151,Adelie
152,Gentoo
153,Gentoo
154,Gentoo
155,Gentoo
156,Gentoo
157,Gentoo
158,Gentoo
159,Gentoo
160,Gentoo
161,Gentoo
162,Gentoo
163,Gentoo
164,Gentoo
165,Gentoo
166,Gentoo
167,Gentoo
168,Gentoo
169,Gentoo
170,Gentoo
171,Gentoo
172,Gentoo
173,Gentoo
174,Gentoo
175,Gentoo
176,Gentoo
177,Gentoo
178,Gentoo
179,Gentoo
180,Gentoo
181,Gentoo
182,Gentoo
183,Gentoo
184,Gentoo
185,Gentoo
186,Gentoo
187,Gentoo
188,Gentoo
189,Gentoo
190,Gentoo
191,Gentoo
192,Gentoo
193,Gentoo
194,Gentoo
195,Gentoo
196,Gentoo
197,Gentoo
198,Gentoo
199,Gentoo
200,Gentoo
201,Gentoo
202,Gentoo
203,Gentoo
204,Gentoo
205,Gentoo
206,Gentoo
207,Gentoo
208,Gentoo
209,Gentoo
210,Gentoo
211,Gentoo
212,Gentoo
213,Gentoo
214,Gentoo
215,Gentoo
216,Gentoo
217,Gentoo
218,Gentoo
219,Gentoo
220,Gentoo
221,Gentoo
222,Gentoo
223,Gentoo
224,Gentoo
225,Gentoo
226,Gentoo
227,Gentoo
228,Gentoo
229,Gentoo
230,Gentoo
231,Gentoo
232,Gentoo
233,Gentoo
234,Gentoo
235,Gentoo
236,Gentoo
237,Gentoo
238,Gentoo
239,Gentoo
240,Gentoo
241,Gentoo
242,Gentoo
243,Gentoo
244,Gentoo
245,Gentoo
246,Gentoo
247,Gentoo
248,Gentoo
249,Gentoo
250,Gentoo
251,Gentoo
252,Gentoo
253,Gentoo
254,Gentoo
255,Gentoo
256,Gentoo
257,Gentoo
258,Gentoo
259,Gentoo
260,Gentoo
261,Gentoo
262,Gentoo
263,Gentoo
264,Gentoo
265,Gentoo
266,Gentoo
267,Gentoo
268,Gentoo
269,Gentoo
270,Gentoo
272,Gentoo
273,Gentoo
274,Gentoo
275,Gentoo
276,Chinstrap
277,Chinstrap
278,Chinstrap
279,Chinstrap
280,Chinstrap
281,Chinstrap
282,Chinstrap
283,Chinstrap
284,Chinstrap
285,Chinstrap
286,Chinstrap
287,Chinstrap
288,Chinstrap
289,Chinstrap
290,Chinstrap
291,Chinstrap
292,Chinstrap
293,Chinstrap
294,Chinstrap
295,Chinstrap
296,Chinstrap
297,Chinstrap
298,Chinstrap
299,Chinstrap
300,Chinstrap
301,Chinstrap
302,Chinstrap
303,Chinstrap
304,Chinstrap
305,Chinstrap
306,Chinstrap
307,Chinstrap
308,Chinstrap
309,Chinstrap
310,Chinstrap
311,Chinstrap
312,Chinstrap
313,Chinstrap
314,Chinstrap
315,Chinstrap
316,Chinstrap
317,Chinstrap
318,Chinstrap
319,Chinstrap
320,Chinstrap
321,Chinstrap
322,Chinstrap
323,Chinstrap
324,Chinstrap
325,Chinstrap
326,Chinstrap
327,Chinstrap
328,Chinstrap
329,Chinstrap
330,Chinstrap
331,Chinstrap
332,Chinstrap
333,Chinstrap
334,Chinstrap
335,Chinstrap
336,Chinstrap
337,Chinstrap
338,Chinstrap
339,Chinstrap
340,Chinstrap
341,Chinstrap
342,Chinstrap
343,Chinstrap
